,count,mean,std,min,25%,50%,75%,max
year,62605.0,2048.356680776296,19.62121062931103,2015.0,2031.0,2048.0,2065.0,2082.0
x_coordinate,62605.0,451783.6722306525,1172030.3381903574,-2432000.0,-486400.0,608000.0,1459200.0,2675200.0
y_coordinate,62605.0,77489.52959028832,1003126.9153748469,-2067200.0,-729600.0,121600.0,851200.0,2188800.0
precipitation,62605.0,208.8470233918,276.77546053600923,-108.359268188,44.2476844788,98.0099639893,251.934860229,2459.45605469
air_temperature,62605.0,237.54867608379786,11.510238339903994,214.175415039,227.551956177,237.588165283,246.036178589,273.111785889
ocean_temperature,62605.0,272.325862614285,0.5461632284764635,271.191192627,271.924499512,272.236175537,272.607666016,275.000488281
upper_left_precipitation,62605.0,164.81362225985268,231.6699438772849,-108.359268188,35.0633239746,78.2778091431,196.929824829,2459.45605469
upper_left_air_temperature,62605.0,219.36646871073992,61.936116205963515,0.0,225.278747559,234.288879395,244.305114746,273.111785889
upper_left_ocean_temperature,62605.0,252.7416289978541,70.32136837272449,0.0,271.849975586,272.169891357,272.550689697,274.443939209
top_precipitation,62605.0,169.29598435155992,225.40547570005344,-108.359268188,36.7137947083,81.8392944336,208.366394043,2294.9050293
top_air_temperature,62605.0,222.93057239496807,56.12383619100128,0.0,225.724060059,234.980285645,244.729644775,266.438110352
top_ocean_temperature,62605.0,256.64304964632123,63.44172866501873,0.0,271.86807251,272.191040039,272.580963135,275.000488281
upper_right_precipitation,62605.0,156.8769297216299,203.94471057527144,-108.359268188,34.6502075195,77.7619018555,196.60144043,1816.53466797
upper_right_air_temperature,62605.0,218.1699912408869,63.701822615928435,0.0,225.122589111,234.143707275,244.340072632,266.81262207
upper_right_ocean_temperature,62605.0,251.4692674197981,72.44206897295085,0.0,271.859710693,272.193359375,272.585449219,275.000488281
left_precipitation,62605.0,180.04837362998998,258.2912787775291,-108.359268188,37.4941062927,83.0801620483,209.141571045,2459.45605469
left_air_temperature,62605.0,224.49185184709964,53.2228276918421,0.0,225.923843384,235.270935059,244.717330933,273.111785889
left_ocean_temperature,62605.0,258.3669285176101,60.00750233374526,0.0,271.87008667,272.185577393,272.558532715,274.274291992
right_precipitation,62605.0,170.78114176306048,218.0682936711746,-108.359268188,37.5914649963,83.5234375,212.064819336,1967.79467773
right_air_temperature,62605.0,224.53498979648697,53.23638519953509,0.0,225.923843384,235.271621704,244.829086304,267.590484619
right_ocean_temperature,62605.0,258.39510527197194,60.014204578905925,0.0,271.886352539,272.209533691,272.592834473,275.000488281
lower_left_precipitation,62605.0,171.89783408031806,255.56585453653494,-108.359268188,34.5181045532,76.7882995605,191.321578979,2342.63427734
lower_left_air_temperature,62605.0,218.12434242162604,63.69672178732286,0.0,225.122589111,234.052459717,244.096954346,273.111785889
lower_left_ocean_temperature,62605.0,251.42454401946543,72.42888222266602,0.0,271.849884033,272.160675049,272.522857666,274.274291992
bottom_precipitation,62605.0,180.94391006889816,261.6973300899998,-65.8212127686,36.7096328735,81.4745483398,203.799255371,2459.45605469
bottom_air_temperature,62605.0,222.9005712210119,56.12077461682577,0.0,225.724060059,234.980285645,244.536315918,273.111785889
bottom_ocean_temperature,62605.0,256.62874721493324,63.437981616239526,0.0,271.873260498,272.187225342,272.559509277,275.000488281
lower_right_precipitation,62605.0,167.83317732762526,231.61369374538594,-108.359268188,35.0568275452,77.9970092773,196.071472168,2335.80810547
lower_right_air_temperature,62605.0,219.33260947292024,61.918369125347645,0.0,225.278747559,234.288879395,244.258377075,267.590484619
lower_right_ocean_temperature,62605.0,252.75712894086053,70.32567005052604,0.0,271.868286133,272.18850708,272.569244385,275.000488281
precipitation_3_years_ago,62605.0,197.78007804839282,272.54389754908834,-108.359268188,39.0327529907,89.2989196777,237.613952637,2459.45605469
air_temperature_3_years_ago,62605.0,226.54826353664285,50.98969743425208,0.0,226.329376221,236.395858765,245.630111694,273.111785889
ocean_temperature_3_years_ago,62605.0,259.7934481550486,57.04131552857307,0.0,271.876647949,272.195770264,272.577667236,275.000488281
precipitation_2_years_ago,62605.0,201.40497763691417,273.7873138900725,-108.359268188,40.6939849854,92.4044342041,242.837615967,2459.45605469
air_temperature_2_years_ago,62605.0,230.17174722710897,42.582963316095906,0.0,226.73008728,236.768692017,245.772155762,273.111785889
ocean_temperature_2_years_ago,62605.0,263.9239060814359,47.07431894759471,0.0,271.892456055,272.209106445,272.58706665,275.000488281
precipitation_1_year_ago,62605.0,205.1605672779941,275.3511394241544,-108.359268188,42.5544586182,95.2460098267,247.490127563,2459.45605469
air_temperature_1_year_ago,62605.0,233.81507567360006,31.57444256199726,0.0,227.168258667,237.182388306,245.913543701,273.111785889
ocean_temperature_1_year_ago,62605.0,268.07264596405815,33.75746988720324,0.0,271.90814209,272.223449707,272.597076416,275.000488281
ice_thickness,62605.0,1918.8392251958653,1071.6295773098782,0.0100353881717,982.284790039,2073.45605469,2837.94873047,4586.17773438
