x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2053,air_temperature_2053,ocean_temperature_2053,precipitation_2054,air_temperature_2054,ocean_temperature_2054,precipitation_2055,air_temperature_2055,ocean_temperature_2055,ice_thickness
-364800.0,2067200.0,551.954101562,261.576965332,272.354949951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.726867676,254.07611084,272.512390137,0.0,0.0,0.0,360.626617432,253.883773804,272.437774658,342.655822754,251.5025177,272.470092773,482.834197998,260.432830811,272.250244141,555.319580078,261.421264648,272.241577148,631.275268555,262.33605957,272.243377686,209.531204224
-243200.0,2067200.0,512.726867676,254.07611084,272.512390137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.954101562,261.576965332,272.354949951,596.637145996,252.881698608,272.523498535,360.626617432,253.883773804,272.437774658,342.655822754,251.5025177,272.470092773,536.679382324,246.646575928,272.596954346,477.184387207,253.419692993,272.407775879,567.944213867,254.00642395,272.490234375,573.030090332,254.605255127,272.557281494,748.556213379
-121600.0,2067200.0,596.637145996,252.881698608,272.523498535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.726867676,254.07611084,272.512390137,394.528106689,251.997741699,272.66494751,342.655822754,251.5025177,272.470092773,536.679382324,246.646575928,272.596954346,297.858093262,247.680480957,272.778167725,627.767456055,252.433273315,272.521392822,696.252563477,252.884933472,272.486114502,643.102111816,253.089599609,272.493774414,482.398986816
0.0,2067200.0,394.528106689,251.997741699,272.66494751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.637145996,252.881698608,272.523498535,293.523864746,253.435379028,273.286651611,536.679382324,246.646575928,272.596954346,297.858093262,247.680480957,272.778167725,172.807052612,241.489044189,273.06729126,429.817443848,251.808151245,272.584014893,473.104095459,251.972259521,272.584259033,404.389648438,251.979232788,272.580322266,352.898529053
121600.0,2067200.0,293.523864746,253.435379028,273.286651611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.528106689,251.997741699,272.66494751,0.0,0.0,0.0,297.858093262,247.680480957,272.778167725,172.807052612,241.489044189,273.06729126,244.50112915,239.700393677,273.294158936,260.639892578,253.267166138,273.284454346,294.826019287,253.65663147,273.249542236,301.195861816,253.423171997,273.256195068,681.312194824
364800.0,2067200.0,201.300918579,253.51852417,273.585449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.433227539,254.548217773,273.518707275,244.50112915,239.700393677,273.294158936,95.2454071045,241.207733154,273.420135498,264.060455322,245.094894409,273.512817383,246.685775757,253.350845337,273.565948486,269.124725342,253.555557251,273.53314209,173.85736084,253.429641724,273.561431885,608.591918945
486400.0,2067200.0,277.433227539,254.548217773,273.518707275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.300918579,253.51852417,273.585449219,298.092437744,254.3177948,273.661804199,95.2454071045,241.207733154,273.420135498,264.060455322,245.094894409,273.512817383,172.779998779,249.757492065,273.76361084,299.966949463,254.298492432,273.484191895,313.722930908,254.4712677,273.433227539,257.918029785,254.333358765,273.429718018,998.934753418
608000.0,2067200.0,298.092437744,254.3177948,273.661804199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.433227539,254.548217773,273.518707275,0.0,0.0,0.0,264.060455322,245.094894409,273.512817383,172.779998779,249.757492065,273.76361084,70.7229614258,252.853027344,274.272399902,285.213684082,254.055633545,273.627258301,280.8387146,254.260955811,273.577392578,286.803100586,254.174087524,273.571807861,390.138427734
-364800.0,1945600.0,360.626617432,253.883773804,272.437774658,0.0,0.0,0.0,551.954101562,261.576965332,272.354949951,512.726867676,254.07611084,272.512390137,0.0,0.0,0.0,342.655822754,251.5025177,272.470092773,523.338256836,253.069763184,272.694732666,398.117584229,252.17590332,272.714385986,231.773788452,245.395492554,272.510955811,227.772369385,253.225006104,272.424072266,357.890228271,253.743606567,272.397491455,416.946258545,254.313720703,272.503265381,464.560119629
-243200.0,1945600.0,342.655822754,251.5025177,272.470092773,551.954101562,261.576965332,272.354949951,512.726867676,254.07611084,272.512390137,596.637145996,252.881698608,272.523498535,360.626617432,253.883773804,272.437774658,536.679382324,246.646575928,272.596954346,398.117584229,252.17590332,272.714385986,231.773788452,245.395492554,272.510955811,235.689056396,239.604324341,272.611907959,264.202423096,251.157928467,272.44430542,395.551208496,251.6353302,272.432220459,368.343566895,251.908691406,272.482879639,786.772949219
-121600.0,1945600.0,536.679382324,246.646575928,272.596954346,512.726867676,254.07611084,272.512390137,596.637145996,252.881698608,272.523498535,394.528106689,251.997741699,272.66494751,342.655822754,251.5025177,272.470092773,297.858093262,247.680480957,272.778167725,231.773788452,245.395492554,272.510955811,235.689056396,239.604324341,272.611907959,182.345993042,237.723922729,272.766876221,533.973449707,246.565475464,272.58996582,630.857910156,246.998275757,272.529510498,529.86517334,246.796981812,272.576538086,861.19934082
