x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2057,air_temperature_2057,ocean_temperature_2057,precipitation_2058,air_temperature_2058,ocean_temperature_2058,precipitation_2059,air_temperature_2059,ocean_temperature_2059,ice_velocity
-364800.0,2067200.0,487.170837402,260.637451172,272.370819092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.471618652,253.830886841,272.513763428,0.0,0.0,0.0,270.642608643,253.605651855,272.511108398,369.399200439,251.811737061,272.477264404,654.206298828,261.553588867,272.335113525,606.007446289,261.107971191,272.30657959,555.401245117,260.808258057,272.344604492,156.006484985
-243200.0,2067200.0,550.471618652,253.830886841,272.513763428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.170837402,260.637451172,272.370819092,777.313720703,252.836914062,272.555084229,270.642608643,253.605651855,272.511108398,369.399200439,251.811737061,272.477264404,705.95690918,247.096832275,272.624511719,667.405517578,254.290344238,272.655212402,573.963806152,254.12361145,272.542663574,492.173828125,253.52746582,272.431915283,3.34754371643
-121600.0,2067200.0,777.313720703,252.836914062,272.555084229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.471618652,253.830886841,272.513763428,606.307861328,252.004592896,272.638946533,369.399200439,251.811737061,272.477264404,705.95690918,247.096832275,272.624511719,481.632568359,247.976135254,272.804656982,790.641418457,253.048568726,272.538604736,676.634643555,253.375061035,272.546295166,590.114746094,252.166168213,272.564300537,0.0659238398075
0.0,2067200.0,606.307861328,252.004592896,272.638946533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.313720703,252.836914062,272.555084229,488.078491211,253.439300537,273.31842041,705.95690918,247.096832275,272.624511719,481.632568359,247.976135254,272.804656982,314.513671875,241.767333984,273.099090576,531.368774414,252.139312744,272.699554443,465.02154541,252.682037354,272.668914795,418.921447754,251.227035522,272.623077393,475.611877441
121600.0,2067200.0,488.078491211,253.439300537,273.31842041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.307861328,252.004592896,272.638946533,0.0,0.0,0.0,481.632568359,247.976135254,272.804656982,314.513671875,241.767333984,273.099090576,358.170806885,239.911819458,273.334106445,412.848327637,253.586364746,273.301330566,341.640350342,254.067840576,273.309753418,342.898681641,252.587905884,273.326751709,37.7200317383
364800.0,2067200.0,316.848022461,253.258300781,273.604888916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.020965576,254.14654541,273.568511963,358.170806885,239.911819458,273.334106445,168.773590088,241.116470337,273.446716309,324.51864624,244.805374146,273.542114258,334.084960938,253.462585449,273.573303223,229.09614563,254.297943115,273.58392334,257.622436523,252.421539307,273.570281982,27.6903095245
486400.0,2067200.0,373.020965576,254.14654541,273.568511963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.848022461,253.258300781,273.604888916,363.273834229,253.977905273,273.711151123,168.773590088,241.116470337,273.446716309,324.51864624,244.805374146,273.542114258,220.28692627,249.179428101,273.794952393,436.835754395,254.454772949,273.45211792,434.599517822,255.364440918,273.508209229,313.971069336,253.357849121,273.575256348,22.7187271118
608000.0,2067200.0,363.273834229,253.977905273,273.711151123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.020965576,254.14654541,273.568511963,0.0,0.0,0.0,324.51864624,244.805374146,273.542114258,220.28692627,249.179428101,273.794952393,289.445922852,252.362548828,274.30267334,458.038238525,254.306503296,273.594116211,456.018676758,255.24710083,273.651794434,280.428070068,253.100814819,273.718414307,135.163619995
-364800.0,1945600.0,270.642608643,253.605651855,272.511108398,0.0,0.0,0.0,487.170837402,260.637451172,272.370819092,550.471618652,253.830886841,272.513763428,0.0,0.0,0.0,369.399200439,251.811737061,272.477264404,421.910247803,252.316467285,272.763336182,309.431976318,252.427627563,272.782989502,238.742645264,246.186309814,272.515930176,418.636657715,254.096893311,272.552856445,428.983276367,253.84085083,272.449188232,345.722106934,253.534683228,272.456726074,13.966091156
-243200.0,1945600.0,369.399200439,251.811737061,272.477264404,487.170837402,260.637451172,272.370819092,550.471618652,253.830886841,272.513763428,777.313720703,252.836914062,272.555084229,270.642608643,253.605651855,272.511108398,705.95690918,247.096832275,272.624511719,309.431976318,252.427627563,272.782989502,238.742645264,246.186309814,272.515930176,339.821228027,240.60357666,272.631256104,448.368713379,251.778060913,272.540802002,444.141540527,251.984436035,272.464904785,308.363494873,251.309249878,272.486694336,5.45339822769
-121600.0,1945600.0,705.95690918,247.096832275,272.624511719,550.471618652,253.830886841,272.513763428,777.313720703,252.836914062,272.555084229,606.307861328,252.004592896,272.638946533,369.399200439,251.811737061,272.477264404,481.632568359,247.976135254,272.804656982,238.742645264,246.186309814,272.515930176,339.821228027,240.60357666,272.631256104,289.047790527,238.56729126,272.786346436,680.725402832,247.075317383,272.603271484,665.17755127,247.56678772,272.596893311,515.443054199,246.173339844,272.589355469,0.0190071035177
0.0,1945600.0,481.632568359,247.976135254,272.804656982,777.313720703,252.836914062,272.555084229,606.307861328,252.004592896,272.638946533,488.078491211,253.439300537,273.31842041,705.95690918,247.096832275,272.624511719,314.513671875,241.767333984,273.099090576,339.821228027,240.60357666,272.631256104,289.047790527,238.56729126,272.786346436,162.405319214,235.39151001,272.97567749,393.759613037,247.975189209,272.773223877,391.223449707,248.703109741,272.783081055,313.203491211,246.897567749,272.765075684,0.044056173414
