,count,mean,std,min,25%,50%,75%,max
year,62605.0,-3.3994371090945644e-15,1.0000079866782765,-1.7000453140003613,-0.8845947238644473,-0.018178471845038652,0.84823778017437,1.7146540321937787
x_coordinate,62605.0,-1.611645531154608e-17,1.0000079866781617,-2.4605222323302574,-0.8004836859857669,0.1332879963330089,0.8595548603587233,1.8970789518240299
y_coordinate,62605.0,-2.723907939979619e-18,1.0000079866780245,-2.1380212470264137,-0.8045801216021397,0.043973321849671114,0.7713048448083661,2.1047459702326403
precipitation,62605.0,-3.995064978636775e-17,1.0000079866781688,-1.6270917656937178,-0.7551256253550829,-0.4479385244964979,0.43155808644235205,2.2115836541385043
air_temperature,62605.0,-1.2575374989572574e-15,1.000007986678224,-2.0306658323903815,-0.8685137051181532,0.003430816410878402,0.7373930966076206,3.089718282637521
ocean_temperature,62605.0,1.181812858225824e-14,1.0000079866782332,-2.151092403609363,-0.7513897596367708,-0.15647681775791566,0.5526072182755581,2.5086026851439973
upper_left_precipitation,62605.0,-5.992597467955161e-17,1.0000079866782017,-1.7904989529069057,-0.7405774782104877,-0.4242269276297297,0.44436216566604675,2.221771631480849
upper_left_air_temperature,62605.0,-1.1603847824313177e-15,1.0000079866782563,-2.5037297238718987,-0.5600255563059787,0.05361517457467673,0.7357772220713018,2.6794813896372234
upper_left_ocean_temperature,62605.0,-6.121892298172861e-14,1.0000079866781955,-2.2137941440928866,-0.5432477169858475,-0.03478153005881022,0.570449901085542,2.2409963281926717
top_precipitation,62605.0,1.416432128789402e-16,1.0000079866782752,-1.7498771903374064,-0.7437234977379681,-0.4307557608434883,0.4467724717884681,2.232516426078123
top_air_temperature,62605.0,-1.4818059193489127e-15,1.0000079866782399,-2.6400708584253825,-0.6098125333005983,0.04938069283182054,0.7436930167825913,2.289687474797004
top_ocean_temperature,62605.0,1.2843770718591899e-13,1.0000079866782325,-2.2956187839589686,-0.5798365165828748,-0.06162522323387224,0.5640183283345211,2.279800595710615
upper_right_precipitation,62605.0,6.809769849949047e-17,1.000007986678307,-1.7901440933538724,-0.7403485613561454,-0.4238767760644314,0.44849350571570706,2.2317566063234855
upper_right_air_temperature,62605.0,1.6343447639877713e-16,1.0000079866782094,-2.482212518761867,-0.5438733143704668,0.06272664223053454,0.7483528218904674,2.2594567965844683
upper_right_ocean_temperature,62605.0,7.895701148687589e-14,1.0000079866781828,-2.1917650761488625,-0.5337298077584136,-0.02555662766739577,0.571627037835219,2.2296623062256677
left_precipitation,62605.0,2.1791263519836953e-17,1.0000079866782374,-1.7447934414382653,-0.7438891394308118,-0.4310593576051655,0.4340245462205512,2.2008950746975957
left_air_temperature,62605.0,4.5398465666326986e-18,1.0000079866782103,-2.692006864581764,-0.6341782972326245,0.04814005800598103,0.7377074143334691,2.7955359816826104
left_ocean_temperature,62605.0,-1.7894259227039444e-14,1.0000079866782203,-2.3446954302238727,-0.5961849493803498,-0.06199751883212522,0.5694887045153639,2.3179991853589827
right_precipitation,62605.0,-5.901800536622507e-17,1.0000079866781844,-1.7320104704275776,-0.7439547769703528,-0.4330050067715732,0.4371930484005197,2.208914786456828
right_air_temperature,62605.0,-2.656718210793455e-15,1.0000079866782403,-2.6981157450885607,-0.6346663323582739,0.045521266618350445,0.7409666094619175,2.397191258703539
right_ocean_temperature,62605.0,-3.3529490802522456e-14,1.0000079866781975,-2.342506591242705,-0.5968182056768746,-0.06443980473088652,0.5669740513670436,2.312662436932968
lower_left_precipitation,62605.0,7.808536094608241e-17,1.0000079866781415,-1.7973274980723792,-0.7364483976790995,-0.42258787804300574,0.4278334315276807,2.174256175337851
lower_left_air_temperature,62605.0,-1.761460467853487e-16,1.000007986678244,-2.463911524577272,-0.5443193462422022,0.057956744209996344,0.735408772647844,2.6550009509829136
lower_left_ocean_temperature,62605.0,1.552264338063052e-14,1.000007986678283,-2.20153297676526,-0.5315260794330391,-0.01736711401147657,0.5818118521217749,2.251818749453996
bottom_precipitation,62605.0,-1.0350850171922553e-16,1.000007986678206,-1.4539603362217823,-0.7410309499607404,-0.4297663396909852,0.42079602290506163,2.163536482203764
bottom_air_temperature,62605.0,2.9581640228178664e-15,1.0000079866782379,-2.6244356683783625,-0.6102517188971345,0.05044313690451716,0.7325375807570177,2.746721530238244
bottom_ocean_temperature,62605.0,5.81463548254316e-14,1.0000079866781957,-2.3089359510083485,-0.5797268637119604,-0.05230796651310865,0.5730791944856317,2.30228828178202
lower_right_precipitation,62605.0,-1.0441647103255205e-16,1.0000079866781357,-1.770138929464364,-0.7369291768228382,-0.42757607165714884,0.42306545482487407,2.163057402296442
lower_right_air_temperature,62605.0,1.861337092319406e-15,1.0000079866781784,-2.506369301897694,-0.5601585675801622,0.05578655337374107,0.7373152552981923,2.3323305186573817
lower_right_ocean_temperature,62605.0,-1.0346128731493254e-13,1.000007986678145,-2.2248178485285255,-0.5431394140338165,-0.0309751405249917,0.5779795422959895,2.2596579767906984
precipitation_3_years_ago,62605.0,-3.2686895279755424e-17,1.0000079866782252,-1.619857068774218,-0.7455298953844707,-0.44735177770130136,0.43245068719122687,2.199421561054773
air_temperature_3_years_ago,62605.0,2.7529629580060684e-15,1.0000079866782197,-2.7289872281297565,-0.6632655469575434,0.05499900737760676,0.713882240490598,2.674757092433858
ocean_temperature_3_years_ago,62605.0,1.3594116559124952e-14,1.0000079866782106,-2.37184544775017,-0.6102967880569573,-0.07569477192501424,0.5640689850718511,2.325617644765064
precipitation_2_years_ago,62605.0,2.2517638970498185e-16,1.0000079866781562,-1.6201542915777645,-0.7486113720954767,-0.44625047140867985,0.4333611548342098,2.20631994522874
air_temperature_2_years_ago,62605.0,1.4709102875889942e-15,1.0000079866782114,-2.887026270885066,-0.7234471827925518,0.036950435534484065,0.7189388759357918,2.7898431678329874
ocean_temperature_2_years_ago,62605.0,-7.382880080520759e-14,1.0000079866782183,-2.4716907913747113,-0.6530447522641568,-0.100337012895219,0.5593859404762128,2.3780319795867673
precipitation_1_year_ago,62605.0,-8.898099270600088e-17,1.0000079866782663,-1.6236009824978355,-0.7514532761920005,-0.4469427687601359,0.4328934190558459,2.2094134619276153
air_temperature_1_year_ago,62605.0,-5.792844219023323e-16,1.0000079866782232,-3.0618857832971327,-0.7885447257389617,0.02110001151121444,0.7270159792998189,2.9260002588930742
ocean_temperature_1_year_ago,62605.0,2.881531412773106e-14,1.000007986678233,-2.583813912912609,-0.7003960720656959,-0.12573462873126248,0.5552158218322465,2.43863366267916
ice_velocity,62605.0,86.09490362408029,308.1544644910147,0.0,2.61102294922,8.17558765411,27.8806819916,13779.2851562
