x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2080,precipitation_2080,air_temperature_2080,ocean_temperature_2080,bed_rock_elevation_2081,precipitation_2081,air_temperature_2081,ocean_temperature_2081,bed_rock_elevation_2082,precipitation_2082,air_temperature_2082,ocean_temperature_2082,ice_thickness
-243200.0,2067200.0,-272.913635254,596.093994141,258.726257324,273.55581665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.720062256,704.297485352,257.064544678,273.417572021,-282.735626221,367.193817139,258.640380859,273.244873047,229.06388855,496.882476807,256.051055908,273.68661499,431.550537109,847.04284668,251.341552734,273.68548584,-272.913635254,687.000061035,258.204284668,273.510986328,-272.913635254,639.186523438,259.032989502,273.450744629,-272.913635254,413.292266846,257.598205566,273.47555542,755.630737305
-121600.0,2067200.0,-342.720062256,704.297485352,257.064544678,273.417572021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.913635254,596.093994141,258.726257324,273.55581665,-707.172607422,335.330780029,256.164428711,273.2293396,229.06388855,496.882476807,256.051055908,273.68661499,431.550537109,847.04284668,251.341552734,273.68548584,475.046630859,491.700836182,252.326431274,274.128662109,-342.720062256,781.186035156,256.511138916,273.368896484,-342.720062256,772.492858887,257.251739502,273.337310791,-342.720062256,513.635009766,255.871337891,273.394439697,453.854492188
0.0,2067200.0,-707.172607422,335.330780029,256.164428711,273.2293396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.720062256,704.297485352,257.064544678,273.417572021,-354.227752686,383.538726807,257.643218994,274.158599854,431.550537109,847.04284668,251.341552734,273.68548584,475.046630859,491.700836182,252.326431274,274.128662109,1869.91455078,347.250305176,246.244369507,274.389007568,-707.172607422,323.655334473,255.62109375,273.188049316,-707.172607422,411.233459473,256.223449707,273.193939209,-707.172607422,112.386779785,255.051620483,273.213500977,200.690872192
121600.0,2067200.0,-354.227752686,383.538726807,257.643218994,274.158599854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-707.172607422,335.330780029,256.164428711,273.2293396,0.0,0.0,0.0,0.0,475.046630859,491.700836182,252.326431274,274.128662109,1869.91455078,347.250305176,246.244369507,274.389007568,2462.41137695,444.243774414,244.453826904,274.543487549,-354.227752686,444.778869629,257.05065918,274.117004395,-354.227752686,344.963684082,257.508728027,274.095550537,-354.227752686,221.140914917,256.413116455,274.147247314,408.318939209
364800.0,2067200.0,187.559173584,385.572906494,257.389221191,275.083374023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.885681152,490.757171631,257.942565918,274.06552124,2462.41137695,444.243774414,244.453826904,274.543487549,1395.92504883,290.979980469,245.53956604,274.813659668,515.05645752,500.93170166,249.234771729,274.937469482,187.559173584,502.576599121,256.774139404,274.875793457,187.559173584,339.688476562,257.063995361,275.115936279,187.559173584,314.016204834,256.375671387,275.051544189,601.104675293
486400.0,2067200.0,-642.885681152,490.757171631,257.942565918,274.06552124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.559173584,385.572906494,257.389221191,275.083374023,-298.494995117,480.073760986,257.826324463,274.215301514,1395.92504883,290.979980469,245.53956604,274.813659668,515.05645752,500.93170166,249.234771729,274.937469482,151.511062622,447.016174316,253.322982788,275.383331299,-642.885681152,621.607727051,257.490997314,274.03717041,-642.885681152,497.123168945,257.530944824,274.05279541,-642.885681152,512.185791016,257.11138916,274.053436279,957.383666992
608000.0,2067200.0,-298.494995117,480.073760986,257.826324463,274.215301514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.885681152,490.757171631,257.942565918,274.06552124,0.0,0.0,0.0,0.0,515.05645752,500.93170166,249.234771729,274.937469482,151.511062622,447.016174316,253.322982788,275.383331299,-589.913757324,410.089050293,256.319366455,274.777313232,-298.494995117,663.892700195,257.512298584,274.188293457,-298.494995117,554.43359375,257.629730225,274.206573486,-298.494995117,586.772827148,257.230621338,274.204467773,393.744018555
-364800.0,1945600.0,-282.735626221,367.193817139,258.640380859,273.244873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.913635254,596.093994141,258.726257324,273.55581665,0.0,0.0,0.0,0.0,229.06388855,496.882476807,256.051055908,273.68661499,0.0,0.0,0.0,0.0,-738.189025879,438.620544434,256.925170898,273.48034668,1041.60375977,295.734436035,250.214523315,273.650238037,-282.735626221,251.667022705,257.947814941,273.188568115,-282.735626221,395.985534668,258.795776367,273.148345947,-282.735626221,190.513687134,257.456359863,273.217651367,425.954986572
-243200.0,1945600.0,229.06388855,496.882476807,256.051055908,273.68661499,0.0,0.0,0.0,0.0,-272.913635254,596.093994141,258.726257324,273.55581665,-342.720062256,704.297485352,257.064544678,273.417572021,-282.735626221,367.193817139,258.640380859,273.244873047,431.550537109,847.04284668,251.341552734,273.68548584,-738.189025879,438.620544434,256.925170898,273.48034668,1041.60375977,295.734436035,250.214523315,273.650238037,17.3610038757,406.671691895,244.670547485,273.783203125,229.06388855,552.91229248,255.242126465,273.350036621,229.06388855,460.032226562,255.856964111,273.451171875,229.06388855,375.252288818,254.692962646,273.680664062,796.739685059
-121600.0,1945600.0,431.550537109,847.04284668,251.341552734,273.68548584,-272.913635254,596.093994141,258.726257324,273.55581665,-342.720062256,704.297485352,257.064544678,273.417572021,-707.172607422,335.330780029,256.164428711,273.2293396,229.06388855,496.882476807,256.051055908,273.68661499,475.046630859,491.700836182,252.326431274,274.128662109,1041.60375977,295.734436035,250.214523315,273.650238037,17.3610038757,406.671691895,244.670547485,273.783203125,251.347808838,315.239685059,242.684829712,274.271850586,431.550537109,957.973999023,250.687301636,273.533996582,431.550537109,699.89666748,251.041213989,273.605377197,431.550537109,675.394592285,249.935028076,273.637512207,882.952087402
