,count,mean,std,min,25%,50%,75%,max
year,62331.0,2048.1888626846994,19.585793738218854,2015.0,2031.0,2048.0,2065.0,2082.0
x_coordinate,62331.0,478360.4434390592,1156753.9341951136,-2432000.0,-364800.0,608000.0,1459200.0,2675200.0
y_coordinate,62331.0,51647.46915659944,1009954.8271016923,-2067200.0,-729600.0,0.0,851200.0,2067200.0
bed_rock_elevation,62331.0,6.943450841143882,716.2299487900104,-2251.47460938,-457.963058472,-16.4050750732,438.632659912,2637.58935547
precipitation,62331.0,229.9422943186036,285.699102556493,-2008.7409668,53.38990592955,116.700912476,283.9609680175,2366.13134766
air_temperature,62331.0,238.76057524120316,11.881583639308383,214.40524292,228.602180481,238.788574219,247.77316284149998,277.132171631
ocean_temperature,62331.0,272.51512881407814,0.6448134691218477,271.108581543,272.0337677,272.380462646,272.865234375,277.42578125
upper_left_bed_rock_elevation,62331.0,25.459247840682117,702.2440796341408,-2251.47460938,-422.45655822749995,0.0,434.196533203,2637.58935547
upper_left_precipitation,62331.0,182.2244567150451,240.46653924125266,-2008.7409668,43.293296814,92.4893264771,222.9855575565,2366.13134766
upper_left_air_temperature,62331.0,220.2992069819476,62.43301097808271,0.0,226.1079483035,235.387329102,245.717536926,277.132171631
upper_left_ocean_temperature,62331.0,252.81820529381645,70.56903777541594,0.0,271.9682159425,272.318939209,272.8181152345,277.42578125
top_bed_rock_elevation,62331.0,10.837095542608314,699.2069482820324,-2251.47460938,-438.779571533,0.0,430.4826812745,2637.58935547
top_precipitation,62331.0,187.57982384431506,235.21725122416416,-1062.90881348,45.18831062315,97.1563873291,233.70187377899998,1840.85339355
top_air_temperature,62331.0,224.06550860009716,56.32663413735044,0.0,226.657814026,236.02633667,246.19286346450002,269.322906494
top_ocean_temperature,62331.0,256.89986071017984,63.353631768814154,0.0,271.987609863,272.336090088,272.836746216,276.630218506
upper_right_bed_rock_elevation,62331.0,10.061623876486713,689.2015702334289,-2251.47460938,-432.699768066,0.0,421.713806152,2637.58935547
upper_right_precipitation,62331.0,175.75801451662068,219.86071866660436,-963.238830566,42.62647247315,91.3712768555,222.266395569,1840.85339355
upper_right_air_temperature,62331.0,218.84207945648194,64.53154905327357,0.0,225.9237976075,235.1743927,245.7166366575,268.714263916
upper_right_ocean_temperature,62331.0,251.27492029022895,73.08195754015995,0.0,271.972869873,272.327911377,272.82904052749996,276.630218506
left_bed_rock_elevation,62331.0,12.998223072090614,708.5365107917871,-2251.47460938,-445.932952881,0.0,434.196533203,2637.58935547
left_precipitation,62331.0,199.49239787858508,267.62271512401,-2008.7409668,45.86624717715,98.8014602661,238.103065491,2366.13134766
left_air_temperature,62331.0,225.25277315975603,54.223437256288804,0.0,226.818702698,236.236862183,246.21331024199998,277.132171631
left_ocean_temperature,62331.0,258.1589107297723,60.84654136510816,0.0,271.982513428,272.324615479,272.80732727049997,277.42578125
right_bed_rock_elevation,62331.0,9.08207093824249,698.5991103357732,-2251.47460938,-439.624481201,0.0,432.115661621,2637.58935547
right_precipitation,62331.0,191.28613525682147,235.17932276157623,-963.238830566,45.8964290619,99.1968917847,239.6359024045,2084.96850586
right_air_temperature,62331.0,225.28137408772946,54.22850570439948,0.0,226.818702698,236.240325928,246.3420333865,268.826538086
right_ocean_temperature,62331.0,258.1756733704055,60.85055057821636,0.0,271.990600586,272.339935303,272.833404541,276.630218506
lower_left_bed_rock_elevation,62331.0,2.273100633394423,697.8420177683596,-2251.47460938,-445.932952881,0.0,407.416503906,2637.58935547
lower_left_precipitation,62331.0,189.66777945570627,261.34611602696503,-1167.89672852,42.57806396485,90.9635620117,220.857444763,2307.68530273
lower_left_air_temperature,62331.0,218.8840694894751,64.56811315359145,0.0,225.9237976075,235.144989014,245.5677108765,276.782897949
lower_left_ocean_temperature,62331.0,251.21620030778342,73.06455080019238,0.0,271.946289062,272.280975342,272.750396729,276.737030029
bottom_bed_rock_elevation,62331.0,11.02738263262276,703.6532369362756,-2251.47460938,-447.032989502,0.0,432.447662354,2637.58935547
bottom_precipitation,62331.0,200.4740332277729,270.81476490581474,-2008.7409668,45.27878189085,97.2990341187,234.6404037475,2366.13134766
bottom_air_temperature,62331.0,224.11815122823467,56.365737103504806,0.0,226.657814026,236.02633667,246.09169769300001,277.132171631
bottom_ocean_temperature,62331.0,256.86522432047155,63.34480596720428,0.0,271.97505188,272.312133789,272.789611816,277.42578125
lower_right_bed_rock_elevation,62331.0,8.18227141465005,692.3908978331874,-2251.47460938,-439.714050293,0.0,427.168823242,2637.58935547
lower_right_precipitation,62331.0,187.23383288308347,243.23505034174434,-963.238830566,43.291122436500004,92.6796569824,226.509788513,2084.96850586
lower_right_air_temperature,62331.0,220.35055586693073,62.457418019742626,0.0,226.1079483035,235.391479492,245.817062378,270.591827393
lower_right_ocean_temperature,62331.0,252.8036020385473,70.56480417524776,0.0,271.96635437,272.308563232,272.796691895,276.630218506
bed_rock_elevation_3_years_ago,62331.0,7.822553785821648,699.5790000520226,-2251.47460938,-439.762115479,0.0,427.729644775,2637.58935547
precipitation_3_years_ago,62331.0,217.9139913843013,282.2576562548437,-1879.72705078,47.5251045227,106.965057373,267.2853393555,2366.13134766
air_temperature_3_years_ago,62331.0,227.5395743324807,51.4523770077457,0.0,227.236534119,237.395294189,247.2003250125,276.966064453
ocean_temperature_3_years_ago,62331.0,259.8789061432689,57.26510723233819,0.0,271.983612061,272.327484131,272.810623169,277.307037354
bed_rock_elevation_2_years_ago,62331.0,7.6215659884115015,705.1097002598137,-2251.47460938,-447.65222168,0.0,432.447662354,2637.58935547
