x_coordinate,y_coordinate,bed_rock_elevation,precipitation,air_temperature,ocean_temperature,upper_left_bed_rock_elevation,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_bed_rock_elevation,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_bed_rock_elevation,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_bed_rock_elevation,left_precipitation,left_air_temperature,left_ocean_temperature,right_bed_rock_elevation,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_bed_rock_elevation,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_bed_rock_elevation,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_bed_rock_elevation,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,bed_rock_elevation_2089,precipitation_2089,air_temperature_2089,ocean_temperature_2089,bed_rock_elevation_2090,precipitation_2090,air_temperature_2090,ocean_temperature_2090,bed_rock_elevation_2091,precipitation_2091,air_temperature_2091,ocean_temperature_2091,ice_velocity
-243200.0,2067200.0,-272.461303711,314.47543335,259.204742432,273.861755371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.386169434,401.03918457,257.220001221,273.632843018,-282.197662354,100.381256104,259.186920166,273.469818115,229.218994141,397.598205566,256.561065674,274.260253906,431.601257324,793.569824219,251.831802368,274.162414551,-272.461303711,303.293487549,259.138427734,273.71282959,-272.461303711,875.404052734,260.417388916,273.682342529,-272.461303711,408.828125,258.627197266,273.84576416,8.51056861877
-121600.0,2067200.0,-342.386169434,401.03918457,257.220001221,273.632843018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.461303711,314.47543335,259.204742432,273.861755371,-706.806945801,29.2937316895,256.189849854,273.365570068,229.218994141,397.598205566,256.561065674,274.260253906,431.601257324,793.569824219,251.831802368,274.162414551,475.230163574,454.866821289,252.729949951,274.653625488,-342.386169434,385.405883789,257.030426025,273.542175293,-342.386169434,1067.44665527,258.223022461,273.563293457,-342.386169434,510.996368408,256.913116455,273.602325439,0.112505085766
0.0,2067200.0,-706.806945801,29.2937316895,256.189849854,273.365570068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.386169434,401.03918457,257.220001221,273.632843018,-352.939605713,240.209289551,257.686462402,274.385559082,431.601257324,793.569824219,251.831802368,274.162414551,475.230163574,454.866821289,252.729949951,274.653625488,1870.38134766,313.432189941,246.417449951,274.968475342,-706.806945801,-41.9759521484,256.063964844,273.323822021,-706.806945801,584.476257324,257.041442871,273.343078613,-706.806945801,199.108718872,256.072662354,273.336730957,1724.92248535
121600.0,2067200.0,-352.939605713,240.209289551,257.686462402,274.385559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-706.806945801,29.2937316895,256.189849854,273.365570068,0.0,0.0,0.0,0.0,475.230163574,454.866821289,252.729949951,274.653625488,1870.38134766,313.432189941,246.417449951,274.968475342,2462.97753906,408.850830078,244.613418579,275.159423828,-352.939605713,76.5298461914,257.419067383,274.312286377,-352.939605713,645.35559082,258.327880859,274.343444824,-352.939605713,369.434112549,257.575958252,274.37512207,50.3836174011
364800.0,2067200.0,188.415267944,275.425445557,257.487487793,275.55682373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.225585938,395.224029541,257.841827393,274.226043701,2462.97753906,408.850830078,244.613418579,275.159423828,1396.35595703,270.784301758,245.814346313,275.381103516,515.460083008,466.852142334,249.613082886,275.489685059,188.415267944,88.4072570801,257.209747314,275.445129395,188.415267944,555.651367188,257.875976562,275.520507812,188.415267944,484.953430176,257.625579834,275.472198486,27.1645088196
486400.0,2067200.0,-642.225585938,395.224029541,257.841827393,274.226043701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.415267944,275.425445557,257.487487793,275.55682373,-297.791503906,470.812408447,257.784362793,274.385009766,1396.35595703,270.784301758,245.814346313,275.381103516,515.460083008,466.852142334,249.613082886,275.489685059,152.128967285,421.812591553,253.613021851,276.082580566,-642.225585938,260.294525146,257.813537598,274.197265625,-642.225585938,665.688720703,258.278076172,274.207550049,-642.225585938,606.894836426,258.37387085,274.221252441,29.3573417664
608000.0,2067200.0,-297.791503906,470.812408447,257.784362793,274.385009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.225585938,395.224029541,257.841827393,274.226043701,0.0,0.0,0.0,0.0,515.460083008,466.852142334,249.613082886,275.489685059,152.128967285,421.812591553,253.613021851,276.082580566,-589.139404297,311.385314941,256.441345215,274.956695557,-297.791503906,356.651641846,257.981567383,274.357757568,-297.791503906,667.088012695,258.281188965,274.359954834,-297.791503906,629.49609375,258.465179443,274.375244141,106.394081116
-364800.0,1945600.0,-282.197662354,100.381256104,259.186920166,273.469818115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.461303711,314.47543335,259.204742432,273.861755371,0.0,0.0,0.0,0.0,229.218994141,397.598205566,256.561065674,274.260253906,0.0,0.0,0.0,0.0,-737.734619141,413.495849609,257.461791992,273.700500488,1041.79772949,306.69934082,250.770523071,274.196929932,-282.197662354,157.792694092,259.189819336,273.376922607,-282.197662354,620.607727051,260.238952637,273.386901855,-282.197662354,212.250579834,258.261230469,273.447052002,411.040985107
-243200.0,1945600.0,229.218994141,397.598205566,256.561065674,274.260253906,0.0,0.0,0.0,0.0,-272.461303711,314.47543335,259.204742432,273.861755371,-342.386169434,401.03918457,257.220001221,273.632843018,-282.197662354,100.381256104,259.186920166,273.469818115,431.601257324,793.569824219,251.831802368,274.162414551,-737.734619141,413.495849609,257.461791992,273.700500488,1041.79772949,306.69934082,250.770523071,274.196929932,17.5119171143,371.100341797,245.202987671,274.28112793,229.218994141,318.077789307,256.186981201,274.187194824,229.218994141,942.262573242,257.239715576,274.34161377,229.218994141,443.221496582,255.72756958,273.878143311,5.68501806259
-121600.0,1945600.0,431.601257324,793.569824219,251.831802368,274.162414551,-272.461303711,314.47543335,259.204742432,273.861755371,-342.386169434,401.03918457,257.220001221,273.632843018,-706.806945801,29.2937316895,256.189849854,273.365570068,229.218994141,397.598205566,256.561065674,274.260253906,475.230163574,454.866821289,252.729949951,274.653625488,1041.79772949,306.69934082,250.770523071,274.196929932,17.5119171143,371.100341797,245.202987671,274.28112793,251.620529175,299.103118896,243.252349854,274.979370117,431.601257324,605.807495117,251.209259033,274.024963379,431.601257324,1296.00317383,252.430679321,274.121429443,431.601257324,821.688598633,251.329177856,273.917663574,0.0798187553883
